city,district,neighborhood,room,living_room,area,age,floor,price,area_per_room
istanbul,basaksehir,guvercintepe,2,1,90,0,3,23000,30
istanbul,kagithane,seyrantepe,1,1,60,6,4,20000,30
istanbul,kagithane,merkez,1,1,55,7,7,29000,27
istanbul,tuzla,yayla,2,1,100,25,2,18000,33
istanbul,bahcelievler,cobancesme,2,1,78,10,1,25000,26
istanbul,beyoglu,evliya_celebi,3,1,125,50,3,55000,31
istanbul,kagithane,sultan_selim,3,1,120,11,1,35000,30
istanbul,gaziosmanpasa,yildiztabya,1,1,55,15,-2,15000,27
istanbul,uskudar,ahmediye,2,1,80,38,1,21000,26
istanbul,sariyer,yenikoy,2,1,80,23,1,40000,26
istanbul,buyukcekmece,ataturk,3,1,150,8,4,40000,37
istanbul,besiktas,yildiz,2,1,90,37,1,30000,30
istanbul,bahcelievler,bahcelievler,2,1,100,36,5,27000,33
istanbul,uskudar,zeynep_kamil,2,1,90,40,2,30000,30
istanbul,kagithane,caglayan,1,1,60,8,3,20000,30
istanbul,sisli,yayla,3,1,110,10,-3,26000,27
istanbul,fatih,sehremini,3,1,100,40,5,25000,25
istanbul,sultanbeyli,hasanpasa,1,1,68,10,4,20000,34
istanbul,tuzla,istasyon,2,1,110,25,-2,26000,36
istanbul,kagithane,harmantepe,1,1,40,10,1,18000,20
istanbul,cekmekoy,merkez,2,1,80,6,1,23000,26
istanbul,eyupsultan,silahtaraga,2,1,95,21,1,25000,31
istanbul,maltepe,zumrutevler,3,1,150,25,2,32000,37
istanbul,uskudar,beylerbeyi,2,1,100,50,1,52000,33
istanbul,fatih,koca_mustafapasa,1,1,80,35,-2,12000,40
istanbul,umraniye,istiklal,2,1,100,20,4,35000,33
istanbul,fatih,seyyid_omer,2,1,90,40,5,22000,30
istanbul,sariyer,pinar,4,1,100,35,2,22500,20
istanbul,kucukcekmece,cumhuriyet,4,1,150,6,1,50000,30
istanbul,kagithane,yesilce,2,1,90,5,1,20000,30
istanbul,kucukcekmece,sultan_murat,1,1,60,25,1,15000,30
istanbul,gaziosmanpasa,karlitepe,2,1,90,30,0,20000,30
istanbul,besiktas,etiler,2,1,85,28,4,60000,28
istanbul,kagithane,telsizler,2,1,110,30,5,20000,36
istanbul,uskudar,guzeltepe,1,1,60,27,-2,25000,30
istanbul,pendik,yenisehir,3,1,130,21,3,27000,32
istanbul,kadikoy,sahrayi_cedit,2,1,110,38,5,35000,36
istanbul,eyupsultan,circir,2,1,83,15,2,28500,27
istanbul,sisli,bozkurt,2,1,95,40,1,30000,31
istanbul,sisli,eskisehir,1,1,45,45,1,18000,22
istanbul,bahcelievler,hurriyet,1,1,55,6,1,18000,27
istanbul,kagithane,seyrantepe,2,1,75,18,5,25750,25
istanbul,besiktas,mecidiye,2,1,75,31,4,35000,25
istanbul,bakirkoy,kartaltepe,1,1,70,31,0,35000,35
istanbul,pendik,dogu,2,1,75,35,5,25000,25
istanbul,kagithane,gultepe,1,1,75,30,4,15000,37
istanbul,besiktas,etiler,3,1,120,45,2,50000,30
istanbul,kadikoy,osmanaga,2,1,75,30,1,35000,25
istanbul,eyupsultan,circir,2,1,130,25,1,21500,43
istanbul,besiktas,gayrettepe,2,1,85,30,2,40000,28
istanbul,fatih,haseki_sultan,3,1,100,40,3,27000,25
istanbul,sisli,pasa,1,1,60,10,-1,15000,30
istanbul,esenyurt,yesilkent,3,1,75,10,2,18000,18
istanbul,bayrampasa,kartaltepe,1,1,65,30,3,13000,32
istanbul,sisli,gulbahar,3,1,110,20,5,30000,27
